accession	type	gene	product	parts
NC_062021.1	rRNA	rns	small subunit ribosomal RNA	9865-10787:-1
NC_062021.1	CDS	COX1	cytochrome c oxidase subunit I	10830-12531:-1
NC_062021.1	CDS	COX2	cytochrome c oxidase subunit II	12639-13401:1
NC_062021.1	CDS	ATP8	ATP synthase F0 subunit 8	13422-13638:1
NC_062021.1	CDS	ATP6	ATP synthase F0 subunit 6	13662-14373:1
NC_062021.1	CDS	ND6	NADH dehydrogenase subunit 6	14553-15132:1
NC_062021.1	CDS	ND3	NADH dehydrogenase subunit 3	15165-15519:1
NC_062021.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15539-15833:1
NC_062021.1	CDS	mutS	MutS-like protein	15845-18764:1
NC_062015.1	rRNA	rnl	large subunit ribosomal RNA	26-1592:1
NC_062015.1	CDS	ND2	NADH dehydrogenase subunit 2	1824-3369:1
NC_062015.1	CDS	ND5	NADH dehydrogenase subunit 5	3356-5177:1
NC_062015.1	CDS	ND4	NADH dehydrogenase subunit 4	5220-6669:1
NC_062015.1	CDS	ND1	NADH dehydrogenase subunit 1	6636-7677:-1
NC_062015.1	rRNA	rns	small subunit ribosomal RNA	7723-8761:-1
NC_062015.1	CDS	COX1	cytochrome c oxidase subunit I	8695-10351:-1
NC_062015.1	CDS	COX2	cytochrome c oxidase subunit II	10469-11231:1
NC_062015.1	CDS	ATP8	ATP synthase F0 subunit 8	11250-11466:1
NC_062015.1	CDS	ATP6	ATP synthase F0 subunit 6	11486-12194:1
NC_062015.1	CDS	COX3	cytochrome c oxidase subunit III	12224-13010:1
NC_062015.1	tRNA	trnM(cau)	tRNA-Met	13068-13137:1
NC_062015.1	CDS	CYTB	cytochrome b	13513-14653:1
NC_062015.1	CDS	ND6	NADH dehydrogenase subunit 6	14665-15214:1
NC_062015.1	CDS	ND3	NADH dehydrogenase subunit 3	15257-15611:1
NC_062015.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15639-15933:1
NC_062015.1	CDS	mutS	MutS-like protein	15946-18874:1
NC_062012.1	rRNA	rnl	large subunit ribosomal RNA	9-2218:1
NC_062012.1	CDS	ND2	NADH dehydrogenase subunit 2	2007-3354:1
NC_062012.1	CDS	ND5	NADH dehydrogenase subunit 5	3341-5159:1
NC_062012.1	CDS	ND4	NADH dehydrogenase subunit 4	5723-7172:1
NC_062012.1	tRNA	trnM(cau)	tRNA-Met	7230-7301:-1
NC_062012.1	CDS	COX3	cytochrome c oxidase subunit III	7340-8126:-1
NC_062012.1	CDS	ATP6	ATP synthase F0 subunit 6	8190-8898:-1
NC_062012.1	CDS	ATP8	ATP synthase F0 subunit 8	8922-9174:-1
NC_062012.1	CDS	COX2	cytochrome c oxidase subunit II	9160-9922:-1
NC_062012.1	CDS	COX1	cytochrome c oxidase subunit I	10034-11744:1
NC_062012.1	rRNA	rns	small subunit ribosomal RNA	11783-12708:1
NC_062012.1	CDS	ND1	NADH dehydrogenase subunit 1	12712-13684:1
NC_062012.1	CDS	CYTB	cytochrome b	13762-14905:1
NC_062012.1	CDS	ND6	NADH dehydrogenase subunit 6	14945-15503:1
NC_062012.1	CDS	ND3	NADH dehydrogenase subunit 3	15546-15906:1
NC_062012.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15918-16212:1
NC_062012.1	CDS	mutS	MutS-like protein	16226-19184:1
NC_062010.1	rRNA	rnl	large subunit ribosomal RNA	9-2215:1
NC_062010.1	CDS	ND2	NADH dehydrogenase subunit 2	2004-3351:1
NC_062010.1	CDS	ND5	NADH dehydrogenase subunit 5	3338-5156:1
NC_062010.1	CDS	ND4	NADH dehydrogenase subunit 4	5227-6676:1
NC_062010.1	tRNA	trnM(cau)	tRNA-Met	6732-6803:-1
NC_062010.1	CDS	COX3	cytochrome c oxidase subunit III	6842-7628:-1
NC_062010.1	CDS	ATP6	ATP synthase F0 subunit 6	7690-8398:-1
NC_062010.1	CDS	ATP8	ATP synthase F0 subunit 8	8421-8673:-1
NC_062010.1	CDS	COX2	cytochrome c oxidase subunit II	8659-9421:-1
NC_062010.1	CDS	COX1	cytochrome c oxidase subunit I	9533-11243:1
NC_062010.1	rRNA	rns	small subunit ribosomal RNA	11123-12161:1
NC_062010.1	CDS	ND1	NADH dehydrogenase subunit 1	12211-13183:1
NC_062010.1	CDS	CYTB	cytochrome b	13253-14390:1
NC_062010.1	CDS	ND6	NADH dehydrogenase subunit 6	14661-15219:1
NC_062010.1	CDS	ND3	NADH dehydrogenase subunit 3	15262-15616:1
NC_062010.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15635-15929:1
NC_062010.1	CDS	mutS	MutS-like protein	15942-18900:1
NC_062007.1	rRNA	rnl	large subunit ribosomal RNA	1016-1911:1
NC_062007.1	CDS	ND2	NADH dehydrogenase subunit 2	1909-3232:1
NC_062007.1	CDS	ND5	NADH dehydrogenase subunit 5	3219-5058:1
NC_062007.1	CDS	ND4	NADH dehydrogenase subunit 4	5063-6512:1
NC_062007.1	tRNA	trnM(cau)	tRNA-Met	6558-6629:-1
NC_062007.1	CDS	COX3	cytochrome c oxidase subunit III	6685-7471:-1
NC_062007.1	CDS	ATP6	ATP synthase F0 subunit 6	7474-8185:-1
NC_062007.1	CDS	ATP8	ATP synthase F0 subunit 8	8194-8407:-1
NC_062007.1	CDS	COX2	cytochrome c oxidase subunit II	8418-9216:-1
NC_062007.1	CDS	COX1	cytochrome c oxidase subunit I	9204-10821:1
NC_062007.1	rRNA	rns	small subunit ribosomal RNA	10893-11810:1
NC_062007.1	CDS	ND1	NADH dehydrogenase subunit 1	11853-12813:1
NC_062007.1	CDS	CYTB	cytochrome b	12832-13984:1
NC_062007.1	CDS	ND6	NADH dehydrogenase subunit 6	13986-14490:1
NC_062007.1	CDS	ND3	NADH dehydrogenase subunit 3	14468-14822:1
NC_062007.1	CDS	ND4L	NADH dehydrogenase subunit 4L	14827-15121:1
NC_062007.1	CDS	mutS	MutS-like protein	15166-18052:1
NC_062004.1	rRNA	rnl	large subunit ribosomal RNA	0-1547:1
NC_062004.1	CDS	ND2	NADH dehydrogenase subunit 2	2014-3346:1
NC_062004.1	CDS	ND5	NADH dehydrogenase subunit 5	3333-5151:1
NC_062004.1	CDS	ND4	NADH dehydrogenase subunit 4	5194-6643:1
NC_062004.1	tRNA	trnM(cau)	tRNA-Met	6905-6976:-1
NC_062004.1	CDS	COX3	cytochrome c oxidase subunit III	7015-7801:-1
NC_062004.1	CDS	ATP6	ATP synthase F0 subunit 6	7848-8556:-1
NC_062004.1	CDS	ATP8	ATP synthase F0 subunit 8	8582-8798:-1
NC_062004.1	CDS	COX2	cytochrome c oxidase subunit II	8820-9582:-1
NC_062004.1	CDS	COX1	cytochrome c oxidase subunit I	9710-11384:1
NC_062004.1	rRNA	rns	small subunit ribosomal RNA	11402-12376:1
NC_062004.1	CDS	ND1	NADH dehydrogenase subunit 1	12422-13403:1
NC_062004.1	CDS	CYTB	cytochrome b	13527-14688:1
NC_062004.1	CDS	ND6	NADH dehydrogenase subunit 6	14724-15279:1
NC_062004.1	CDS	ND3	NADH dehydrogenase subunit 3	15322-15676:1
NC_062004.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15704-15998:1
NC_062004.1	CDS	mutS	MutS-like protein	16011-18969:1
NC_061999.1	rRNA	rnl	large subunit ribosomal RNA	9-2221:1
NC_061999.1	CDS	ND2	NADH dehydrogenase subunit 2	2010-3357:1
NC_061999.1	CDS	ND5	NADH dehydrogenase subunit 5	3344-5162:1
NC_061999.1	CDS	ND4	NADH dehydrogenase subunit 4	5257-6706:1
NC_061999.1	tRNA	trnM(cau)	tRNA-Met	6763-6834:-1
NC_061999.1	CDS	COX3	cytochrome c oxidase subunit III	6873-7659:-1
NC_061999.1	CDS	ATP6	ATP synthase F0 subunit 6	7723-8431:-1
NC_061999.1	CDS	ATP8	ATP synthase F0 subunit 8	8454-8670:-1
NC_061999.1	CDS	COX2	cytochrome c oxidase subunit II	8691-9453:-1
NC_061999.1	CDS	COX1	cytochrome c oxidase subunit I	9565-11275:1
NC_061999.1	rRNA	rns	small subunit ribosomal RNA	11155-12193:1
NC_061999.1	CDS	ND1	NADH dehydrogenase subunit 1	12243-13215:1
NC_061999.1	CDS	CYTB	cytochrome b	13266-14409:1
NC_061999.1	CDS	ND6	NADH dehydrogenase subunit 6	14449-15007:1
NC_061999.1	CDS	ND3	NADH dehydrogenase subunit 3	15062-15416:1
NC_061999.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15435-15729:1
NC_061999.1	CDS	mutS	MutS-like protein	15742-18712:1
NC_061998.1	rRNA	rnl	large subunit ribosomal RNA	119-2024:1
NC_061998.1	CDS	ND2	NADH dehydrogenase subunit 2	2073-3420:1
NC_061998.1	CDS	ND5	NADH dehydrogenase subunit 5	3407-5225:1
NC_061998.1	CDS	ND4	NADH dehydrogenase subunit 4	5268-6717:1
NC_061998.1	tRNA	trnM(cau)	tRNA-Met	6739-6810:-1
NC_061998.1	CDS	ND1	NADH dehydrogenase subunit 1	6958-7927:-1
NC_061998.1	rRNA	rns	small subunit ribosomal RNA	7975-9006:-1
NC_061998.1	CDS	COX1	cytochrome c oxidase subunit I	9043-10600:-1
NC_061998.1	CDS	COX2	cytochrome c oxidase subunit II	10713-11457:1
NC_061998.1	CDS	ATP8	ATP synthase F0 subunit 8	11479-11695:1
NC_061998.1	CDS	ATP6	ATP synthase F0 subunit 6	11717-12425:1
NC_061998.1	CDS	COX3	cytochrome c oxidase subunit III	12464-13250:1
NC_061998.1	CDS	CYTB	cytochrome b	13300-14473:1
NC_061998.1	CDS	ND6	NADH dehydrogenase subunit 6	14565-15117:1
NC_061998.1	CDS	ND3	NADH dehydrogenase subunit 3	15126-15483:1
NC_061998.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15498-15792:1
NC_061998.1	CDS	mutS	MutS-like protein	15804-18753:1
NC_061994.1	rRNA	rnl	large subunit ribosomal RNA	0-2213:1
NC_061994.1	CDS	ND2	NADH dehydrogenase subunit 2	2002-3349:1
NC_061994.1	CDS	ND5	NADH dehydrogenase subunit 5	3336-5154:1
NC_061994.1	CDS	ND4	NADH dehydrogenase subunit 4	5249-6698:1
NC_061994.1	tRNA	trnM(cau)	tRNA-Met	6755-6826:-1
NC_061994.1	CDS	COX3	cytochrome c oxidase subunit III	6865-7651:-1
NC_061994.1	CDS	ATP6	ATP synthase F0 subunit 6	7715-8423:-1
NC_061994.1	CDS	ATP8	ATP synthase F0 subunit 8	8447-8663:-1
NC_061994.1	CDS	COX2	cytochrome c oxidase subunit II	8684-9446:-1
NC_061994.1	CDS	COX1	cytochrome c oxidase subunit I	9558-11268:1
NC_061994.1	rRNA	rns	small subunit ribosomal RNA	11148-12185:1
NC_061994.1	CDS	ND1	NADH dehydrogenase subunit 1	12235-13207:1
NC_061994.1	CDS	CYTB	cytochrome b	13258-14401:1
NC_061994.1	CDS	ND6	NADH dehydrogenase subunit 6	14440-14998:1
NC_061994.1	CDS	ND3	NADH dehydrogenase subunit 3	15041-15395:1
NC_061994.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15414-15708:1
NC_061994.1	CDS	mutS	MutS-like protein	15721-18691:1
NC_061990.1	rRNA	rnl	large subunit ribosomal RNA	9-2220:1
NC_061990.1	CDS	ND2	NADH dehydrogenase subunit 2	2009-3356:1
NC_061990.1	CDS	ND5	NADH dehydrogenase subunit 5	3343-5161:1
NC_061990.1	CDS	ND4	NADH dehydrogenase subunit 4	5255-6704:1
NC_061990.1	tRNA	trnM(cau)	tRNA-Met	6761-6832:-1
NC_061990.1	CDS	COX3	cytochrome c oxidase subunit III	6871-7657:-1
NC_061990.1	CDS	ATP6	ATP synthase F0 subunit 6	7721-8429:-1
NC_061990.1	CDS	ATP8	ATP synthase F0 subunit 8	8475-8691:-1
NC_061990.1	CDS	COX2	cytochrome c oxidase subunit II	8713-9475:-1
NC_061990.1	CDS	COX1	cytochrome c oxidase subunit I	9587-11297:1
NC_061990.1	rRNA	rns	small subunit ribosomal RNA	11335-12257:1
NC_061990.1	CDS	ND1	NADH dehydrogenase subunit 1	12265-13237:1
NC_061990.1	CDS	CYTB	cytochrome b	13318-14455:1
NC_061990.1	CDS	ND6	NADH dehydrogenase subunit 6	14774-15332:1
NC_061990.1	CDS	ND3	NADH dehydrogenase subunit 3	15375-15729:1
NC_061990.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15748-16042:1
NC_061990.1	CDS	mutS	MutS-like protein	16055-19010:1
NC_061988.1	rRNA	rnl	large subunit ribosomal RNA	9-2226:1
NC_061988.1	CDS	ND2	NADH dehydrogenase subunit 2	2015-3362:1
NC_061988.1	CDS	ND5	NADH dehydrogenase subunit 5	3349-5167:1
NC_061988.1	CDS	ND4	NADH dehydrogenase subunit 4	5225-6674:1
NC_061988.1	tRNA	trnM(cau)	tRNA-Met	6739-6810:-1
NC_061988.1	CDS	COX3	cytochrome c oxidase subunit III	6849-7635:-1
NC_061988.1	CDS	ATP6	ATP synthase F0 subunit 6	7699-8407:-1
NC_061988.1	CDS	ATP8	ATP synthase F0 subunit 8	8431-8647:-1
NC_061988.1	CDS	COX2	cytochrome c oxidase subunit II	8669-9431:-1
NC_061988.1	CDS	COX1	cytochrome c oxidase subunit I	9547-11257:1
NC_061988.1	rRNA	rns	small subunit ribosomal RNA	11137-12174:1
NC_061988.1	CDS	ND1	NADH dehydrogenase subunit 1	12224-13196:1
NC_061988.1	CDS	CYTB	cytochrome b	13229-15353:1
NC_061988.1	CDS	ND6	NADH dehydrogenase subunit 6	15370-15928:1
NC_061988.1	CDS	ND3	NADH dehydrogenase subunit 3	15983-16337:1
NC_061988.1	CDS	ND4L	NADH dehydrogenase subunit 4L	16356-16650:1
NC_061988.1	CDS	mutS	MutS-like protein	16663-19648:1
NC_065776.1	CDS	ND5	NADH dehydrogenase subunit 5	0-714:1,7151-8303:1
NC_065776.1	CDS	ND1	NADH dehydrogenase subunit 1	824-1772:1
NC_065776.1	CDS	ATP6	ATP synthase F0 subunit 6	1814-2513:1
NC_065776.1	CDS	ND4	NADH dehydrogenase subunit 4	2512-3958:1
NC_065776.1	rRNA		12S ribosomal RNA	3964-4969:1
NC_065776.1	CDS	COX3	cytochrome c oxidase subunit III	4969-5749:1
NC_065776.1	CDS	COX2	cytochrome c oxidase subunit II	5844-6462:1
NC_065776.1	CDS	ND4L	NADH dehydrogenase subunit 4L	6451-6751:1
NC_065776.1	CDS	ND3	NADH dehydrogenase subunit 3	6752-7097:1
NC_065776.1	CDS	CYTB	cytochrome b	8503-9664:1
NC_065776.1	CDS	ND2	NADH dehydrogenase subunit 2	9656-10976:1
NC_065776.1	CDS	ND6	NADH dehydrogenase subunit 6	10977-11529:1
NC_065776.1	tRNA		tRNA-Trp	12144-12214:1
NC_065776.1	CDS	ATP8	ATP synthase F0 subunit 8	12455-12623:1
NC_065776.1	CDS	COX1	cytochrome c oxidase subunit I	12612-14161:1
NC_065776.1	tRNA		tRNA-Met	14161-14232:1
NC_065776.1	rRNA		16S ribosomal RNA	14267-16105:1
NC_062037.1	rRNA	rnl	large subunit ribosomal RNA	0-2191:1
NC_062037.1	tRNA	trnM(cau)	tRNA-Met	2191-2262:1
NC_062037.1	rRNA	rns	small subunit ribosomal RNA	2262-3295:1
NC_062037.1	CDS	COX3	cytochrome c oxidase subunit III	3335-4121:1
NC_062037.1	CDS	ND2	NADH dehydrogenase subunit 2	4092-5514:1
NC_062037.1	CDS	ND5	NADH dehydrogenase subunit 5	5501-7304:1
NC_062037.1	CDS	ND6	NADH dehydrogenase subunit 6	8073-8661:1
NC_062037.1	CDS	ND3	NADH dehydrogenase subunit 3	8670-9024:1
NC_062037.1	CDS	ND4	NADH dehydrogenase subunit 4	9025-10441:1
NC_062037.1	CDS	COX1_COX2	cytochrome c oxidase subunit 1-subunit 2 fusion protein	10551-12951:1
NC_062037.1	CDS	ATP8	ATP synthase F0 subunit 8	12958-13141:1
NC_062037.1	CDS	ATP6	ATP synthase F0 subunit 6	13145-13835:1
NC_062037.1	CDS	ND1	NADH dehydrogenase subunit 1	13834-14740:1
NC_062037.1	CDS	CYTB	cytochrome b	14893-16063:1
NC_062037.1	CDS	ND4L	NADH dehydrogenase subunit 4L	16050-16344:1
NC_062037.1	CDS	mutS	MutS-like protein	16521-19491:1
NC_062035.1	rRNA	rnl	large subunit ribosomal RNA	9-1985:1
NC_062035.1	CDS	ND2	NADH dehydrogenase subunit 2	2009-3365:1
NC_062035.1	CDS	ND5	NADH dehydrogenase subunit 5	3352-5167:1
NC_062035.1	CDS	ND4	NADH dehydrogenase subunit 4	5193-6642:1
NC_062035.1	tRNA	trnM(cau)	tRNA-Met	6760-6831:-1
NC_062035.1	CDS	COX3	cytochrome c oxidase subunit III	6895-7681:-1
NC_062035.1	CDS	ATP6	ATP synthase F0 subunit 6	7738-8446:-1
NC_062035.1	CDS	ATP8	ATP synthase F0 subunit 8	8470-8686:-1
NC_062035.1	CDS	COX2	cytochrome c oxidase subunit II	8728-9490:-1
NC_062035.1	CDS	COX1	cytochrome c oxidase subunit I	9592-11158:1
NC_062035.1	rRNA	rns	small subunit ribosomal RNA	11197-12244:1
NC_062035.1	CDS	ND1	NADH dehydrogenase subunit 1	12302-13283:1
NC_062035.1	CDS	CYTB	cytochrome b	13312-14455:1
NC_062035.1	CDS	ND6	NADH dehydrogenase subunit 6	14473-15028:1
NC_062035.1	CDS	ND3	NADH dehydrogenase subunit 3	15092-15446:1
NC_062035.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15449-15743:1
NC_062035.1	CDS	mutS	MutS-like protein	15756-18741:1
NC_062030.1	rRNA	rnl	large subunit ribosomal RNA	9-2247:1
NC_062030.1	CDS	ND2	NADH dehydrogenase subunit 2	2036-3383:1
NC_062030.1	CDS	ND5	NADH dehydrogenase subunit 5	3370-5188:1
NC_062030.1	CDS	ND4	NADH dehydrogenase subunit 4	5284-6733:1
NC_062030.1	tRNA	trnM(cau)	tRNA-Met	6789-6860:-1
NC_062030.1	CDS	COX3	cytochrome c oxidase subunit III	6899-7685:-1
NC_062030.1	CDS	ATP6	ATP synthase F0 subunit 6	7749-8457:-1
NC_062030.1	CDS	ATP8	ATP synthase F0 subunit 8	8481-8733:-1
NC_062030.1	CDS	COX2	cytochrome c oxidase subunit II	8719-9481:-1
NC_062030.1	CDS	COX1	cytochrome c oxidase subunit I	9593-11303:1
NC_062030.1	rRNA	rns	small subunit ribosomal RNA	11341-12266:1
NC_062030.1	CDS	ND1	NADH dehydrogenase subunit 1	12270-13242:1
NC_062030.1	CDS	CYTB	cytochrome b	13293-14436:1
NC_062030.1	CDS	ND6	NADH dehydrogenase subunit 6	14466-15024:1
NC_062030.1	CDS	ND3	NADH dehydrogenase subunit 3	15068-15422:1
NC_062030.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15441-15735:1
NC_062030.1	CDS	mutS	MutS-like protein	15748-18730:1
NC_062027.1	rRNA	rnl	large subunit ribosomal RNA	9-2219:1
NC_062027.1	CDS	ND2	NADH dehydrogenase subunit 2	2008-3355:1
NC_062027.1	CDS	ND5	NADH dehydrogenase subunit 5	3342-5160:1
NC_062027.1	CDS	ND4	NADH dehydrogenase subunit 4	5409-6858:1
NC_062027.1	tRNA	trnM(cau)	tRNA-Met	6915-6986:-1
NC_062027.1	CDS	COX3	cytochrome c oxidase subunit III	7025-7811:-1
NC_062027.1	CDS	ATP6	ATP synthase F0 subunit 6	7875-8583:-1
NC_062027.1	CDS	ATP8	ATP synthase F0 subunit 8	8607-8859:-1
NC_062027.1	CDS	COX2	cytochrome c oxidase subunit II	8845-9607:-1
NC_062027.1	CDS	COX1	cytochrome c oxidase subunit I	9719-11429:1
NC_062027.1	rRNA	rns	small subunit ribosomal RNA	11467-12393:1
NC_062027.1	CDS	ND1	NADH dehydrogenase subunit 1	12397-13369:1
NC_062027.1	CDS	CYTB	cytochrome b	13420-14575:1
NC_062027.1	CDS	ND6	NADH dehydrogenase subunit 6	14690-15248:1
NC_062027.1	CDS	ND3	NADH dehydrogenase subunit 3	15303-15657:1
NC_062027.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15676-15970:1
NC_062027.1	CDS	mutS	MutS-like protein	15983-18950:1
NC_062026.1	rRNA	rnl	large subunit ribosomal RNA	9-2247:1
NC_062026.1	CDS	ND2	NADH dehydrogenase subunit 2	2036-3383:1
NC_062026.1	CDS	ND5	NADH dehydrogenase subunit 5	3370-5188:1
NC_062026.1	CDS	ND4	NADH dehydrogenase subunit 4	5284-6733:1
NC_062026.1	tRNA	trnM(cau)	tRNA-Met	6789-6860:-1
NC_062026.1	CDS	COX3	cytochrome c oxidase subunit III	6899-7685:-1
NC_062026.1	CDS	ATP6	ATP synthase F0 subunit 6	7749-8457:-1
NC_062026.1	CDS	ATP8	ATP synthase F0 subunit 8	8481-8733:-1
NC_062026.1	CDS	COX2	cytochrome c oxidase subunit II	8719-9481:-1
NC_062026.1	CDS	COX1	cytochrome c oxidase subunit I	9593-11303:1
NC_062026.1	rRNA	rns	small subunit ribosomal RNA	11341-12266:1
NC_062026.1	CDS	ND1	NADH dehydrogenase subunit 1	12270-13242:1
NC_062026.1	CDS	CYTB	cytochrome b	13293-14436:1
NC_062026.1	CDS	ND6	NADH dehydrogenase subunit 6	14466-15024:1
NC_062026.1	CDS	ND3	NADH dehydrogenase subunit 3	15068-15422:1
NC_062026.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15441-15735:1
NC_062026.1	CDS	mutS	MutS-like protein	15748-18730:1
NC_062022.1	rRNA	rnl	large subunit ribosomal RNA	26-2231:1
NC_062022.1	CDS	ND2	NADH dehydrogenase subunit 2	2020-3367:1
NC_062022.1	CDS	ND5	NADH dehydrogenase subunit 5	3354-5190:1
NC_062022.1	CDS	ND4	NADH dehydrogenase subunit 4	5360-6809:1
NC_062022.1	tRNA	trnM(cau)	tRNA-Met	6862-6933:-1
NC_062022.1	CDS	COX3	cytochrome c oxidase subunit III	6956-7742:-1
NC_062022.1	CDS	ATP6	ATP synthase F0 subunit 6	8154-8862:-1
NC_062022.1	CDS	ATP8	ATP synthase F0 subunit 8	8883-9135:-1
NC_062022.1	CDS	COX2	cytochrome c oxidase subunit II	9121-9883:-1
NC_062022.1	CDS	COX1	cytochrome c oxidase subunit I	9991-11674:1
NC_062022.1	rRNA	rns	small subunit ribosomal RNA	11736-12660:1
NC_062022.1	CDS	ND1	NADH dehydrogenase subunit 1	12664-13636:1
NC_062022.1	CDS	CYTB	cytochrome b	13713-14859:1
NC_062022.1	CDS	ND6	NADH dehydrogenase subunit 6	15054-15633:1
NC_062022.1	CDS	ND3	NADH dehydrogenase subunit 3	15667-16021:1
NC_062022.1	CDS	ND4L	NADH dehydrogenase subunit 4L	16041-16335:1
NC_062022.1	CDS	mutS	MutS-like protein	16348-19279:1
NC_062020.1	rRNA	rnl	large subunit ribosomal RNA	10-2213:1
NC_062020.1	CDS	ND2	NADH dehydrogenase subunit 2	2016-3363:1
NC_062020.1	CDS	ND5	NADH dehydrogenase subunit 5	3350-5168:1
NC_062020.1	CDS	ND4	NADH dehydrogenase subunit 4	5262-6711:1
NC_062020.1	tRNA	trnM(cau)	tRNA-Met	6770-6841:-1
NC_062020.1	CDS	COX3	cytochrome c oxidase subunit III	6880-7666:-1
NC_062020.1	CDS	ATP6	ATP synthase F0 subunit 6	8218-8926:-1
NC_062020.1	CDS	ATP8	ATP synthase F0 subunit 8	8950-9202:-1
NC_062020.1	CDS	COX2	cytochrome c oxidase subunit II	9188-9950:-1
NC_062020.1	CDS	COX1	cytochrome c oxidase subunit I	10062-11634:1
NC_062020.1	rRNA	rns	small subunit ribosomal RNA	11651-12695:1
NC_062020.1	CDS	ND1	NADH dehydrogenase subunit 1	12745-13717:1
NC_062020.1	CDS	CYTB	cytochrome b	13767-14904:1
NC_062020.1	CDS	ND6	NADH dehydrogenase subunit 6	15040-15598:1
NC_062020.1	CDS	ND3	NADH dehydrogenase subunit 3	15651-16005:1
NC_062020.1	CDS	ND4L	NADH dehydrogenase subunit 4L	16024-16318:1
NC_062020.1	CDS	mutS	MutS-like protein	16341-19296:1
NC_062019.1	rRNA	rnl	large subunit ribosomal RNA	14-2157:1
NC_062019.1	CDS	ND2	NADH dehydrogenase subunit 2	1966-3313:1
NC_062019.1	CDS	ND5	NADH dehydrogenase subunit 5	3300-5112:1
NC_062019.1	CDS	ND4	NADH dehydrogenase subunit 4	5679-7122:1
NC_062019.1	tRNA	trnM(cau)	tRNA-Met	7174-7245:-1
NC_062019.1	CDS	COX3	cytochrome c oxidase subunit III	7276-8062:-1
NC_062019.1	CDS	ATP6	ATP synthase F0 subunit 6	8171-8879:-1
NC_062019.1	CDS	ATP8	ATP synthase F0 subunit 8	8891-9131:-1
NC_062019.1	CDS	COX2	cytochrome c oxidase subunit II	9117-9879:-1
NC_062019.1	CDS	COX1	cytochrome c oxidase subunit I	9961-11515:1
NC_062019.1	rRNA	rns	small subunit ribosomal RNA	11531-12561:1
NC_062019.1	CDS	ND1	NADH dehydrogenase subunit 1	12607-13576:1
NC_062019.1	CDS	CYTB	cytochrome b	13649-14792:1
NC_062019.1	CDS	ND6	NADH dehydrogenase subunit 6	14818-15373:1
NC_062019.1	CDS	ND3	NADH dehydrogenase subunit 3	15391-15751:1
NC_062019.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15763-16057:1
NC_062019.1	CDS	mutS	MutS-like protein	16065-18975:1
NC_062016.1	rRNA	rnl	large subunit ribosomal RNA	10-2219:1
NC_062016.1	CDS	ND2	NADH dehydrogenase subunit 2	2008-3355:1
NC_062016.1	CDS	ND5	NADH dehydrogenase subunit 5	3342-5160:1
NC_062016.1	CDS	ND4	NADH dehydrogenase subunit 4	5253-6702:1
NC_062016.1	tRNA	trnM(cau)	tRNA-Met	6759-6830:-1
NC_062016.1	CDS	COX3	cytochrome c oxidase subunit III	6869-7655:-1
NC_062016.1	CDS	ATP6	ATP synthase F0 subunit 6	7718-8426:-1
NC_062016.1	CDS	ATP8	ATP synthase F0 subunit 8	8450-8702:-1
NC_062016.1	CDS	COX2	cytochrome c oxidase subunit II	8688-9450:-1
NC_062016.1	CDS	COX1	cytochrome c oxidase subunit I	9562-11272:1
NC_062016.1	rRNA	rns	small subunit ribosomal RNA	11312-12223:1
NC_062016.1	CDS	ND1	NADH dehydrogenase subunit 1	12239-13211:1
NC_062016.1	CDS	CYTB	cytochrome b	13292-14435:1
NC_062016.1	CDS	ND6	NADH dehydrogenase subunit 6	14464-15022:1
NC_062016.1	CDS	ND3	NADH dehydrogenase subunit 3	15077-15431:1
NC_062016.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15450-15744:1
NC_062016.1	CDS	mutS	MutS-like protein	15757-18715:1
NC_062014.1	rRNA	rnl	large subunit ribosomal RNA	18-1604:1
NC_062014.1	CDS	ND2	NADH dehydrogenase subunit 2	2086-3424:1
NC_062014.1	CDS	ND5	NADH dehydrogenase subunit 5	3411-5229:1
NC_062014.1	CDS	ND4	NADH dehydrogenase subunit 4	5324-6773:1
NC_062014.1	tRNA	trnM(cau)	tRNA-Met	6844-6915:-1
NC_062014.1	CDS	COX3	cytochrome c oxidase subunit III	6959-7745:-1
NC_062014.1	CDS	ATP6	ATP synthase F0 subunit 6	7782-8490:-1
NC_062014.1	CDS	ATP8	ATP synthase F0 subunit 8	8510-8726:-1
NC_062014.1	CDS	COX2	cytochrome c oxidase subunit II	8754-9516:-1
NC_062014.1	CDS	COX1	cytochrome c oxidase subunit I	9680-11390:1
NC_062014.1	rRNA	rns	small subunit ribosomal RNA	11270-12314:1
NC_062014.1	CDS	ND1	NADH dehydrogenase subunit 1	12396-13368:1
NC_062014.1	CDS	CYTB	cytochrome b	13498-14641:1
